zip_vec,app,treatment,products,Price,                        ,Description,Craigslist Geo,Craigslist Geo,Photo Folder Link,Responses,Views,Views,Population
81601,letgo,control,Speaker,$5,,"I bought the MEIDI wireless Bluetooth speaker a month ago. I rarely used it and overtime I realized that I no longer need it.  The speaker looks like new and it works seamlessly. I plan to sell the product in its original box that includes speaker, speaker, 60 cm charging cable, 50 cm 3.5 mm AUX in cable, and user manual. The speaker comes with the following features.
Features:
⁃                     Compatible with cell phones, tables, laptops, and computes
⁃                     6 hours of battery life
⁃                     Contains two speakers",,,https://drive.google.com/drive/u/2/folders/1IL33NsyOx7xjAZ1vi5FiWW1S2DCOf-kX,0,15,15,15729
35967,letgo,treatment_1,Love Letter Board Game,$5,,"Fun board game for 2-4 players that involves risk, deduction, and luck. The goal of the game is to get your love letter to the princess. I no longer play this game anymore which is why I am looking to sell it.
This elegant and simple design features, only 16 cards but hours of fun!
Contents: 1 Rulebook, 16 game cards, 4 reference cards, 13 tokens of affection
20 minutes playtime",,,https://drive.google.com/drive/u/2/folders/1IfI9XdSx_qtwZL67efot6WpDXhw6utF7,1,17,17,16485
75601,offerup,treatment_1,Speaker,$5,done,"I bought the MEIDI wireless Bluetooth speaker a month ago. I rarely used it and overtime I realized that I no longer need it.  The speaker looks like new and it works seamlessly. I plan to sell the product in its original box that includes speaker, speaker, 60 cm charging cable, 50 cm 3.5 mm AUX in cable, and user manual. The speaker comes with the following features.
Features:
⁃                     Compatible with cell phones, tables, laptops, and computes
⁃                     6 hours of battery life
⁃                     Contains two speakers",,,https://drive.google.com/drive/u/2/folders/1IL33NsyOx7xjAZ1vi5FiWW1S2DCOf-kX,1,73,73,16083
10011,offerup,treatment_2,Speaker,$5,done,"I bought the MEIDI wireless Bluetooth speaker a month ago. I rarely used it and overtime I realized that I no longer need it.  The speaker looks like new and it works seamlessly. I plan to sell the product in its original box that includes speaker, speaker, 60 cm charging cable, 50 cm 3.5 mm AUX in cable, and user manual. The speaker comes with the following features.
Features:
⁃                     Compatible with cell phones, tables, laptops, and computes
⁃                     6 hours of battery life
⁃                     Contains two speakers",,,https://drive.google.com/drive/u/2/folders/1IL33NsyOx7xjAZ1vi5FiWW1S2DCOf-kX,3,85,85,50404
33513,cragslist,treatment_1,Speaker,$5,done,"I bought the MEIDI wireless Bluetooth speaker a month ago. I rarely used it and overtime I realized that I no longer need it.  The speaker looks like new and it works seamlessly. I plan to sell the product in its original box that includes speaker, speaker, 60 cm charging cable, 50 cm 3.5 mm AUX in cable, and user manual. The speaker comes with the following features.
Features:
⁃ Compatible with cell phones, tables, laptops, and computes
⁃ 6 hours of battery life
⁃ Contains two speakers",https://ocala.craigslist.org/,ocala,https://drive.google.com/drive/u/2/folders/1IL33NsyOx7xjAZ1vi5FiWW1S2DCOf-kX,0,,,11936
80504,letgo,treatment_1,Retrospec Longboard,$40,,"Great and fun longboard to go around the park. Bought about 4 months ago and have ridden it about 10 times. Still in really good shape with a few minor scratches. Unfortunately I no longer have time to use so I am selling this item.

Rugged and lightweight aluminum trucks
Reactive and smooth gliding reverse kingpin trucks with precision abec-7 bearing, PU casted Black bushing-90a
Durable 70x51mm 85a PU wheels with rock finish",,,https://drive.google.com/drive/u/2/folders/1C0ByBd9bZU7DQKMOnimSD62dN4fDldUt,3,32,32,50807
35811,offerup,control,VTECH Sit to Stand Learning Walker,$5,done,"This walker has easy-to-remove activity panel is great for floor play and is packed with features and the legs fold for easy storage. Five light-up piano keys introduce colors and numbers, while spinning gears help develop fine motor skills. Attach the panel to the adjustable two-speed walker as little ones grow, and watch them go! Intended for ages 9-36 months. Requires 2 AA batteries and the batteries are included. 
•                    Electronic play panel can be removed from the walker for floor play
•                    Attach and detach the cell phone to trigger playful phrases, sounds and a cute song
•                    Speed control on the wheels helps keep beginner walkers at a slower pace",,,https://drive.google.com/drive/u/2/folders/1x6EZBjrtGLPAGdtHvwn2G3iGRM2uQGFj,0,11,11,28014
95832,offerup,control,VTECH Sit to Stand Learning Walker,$5,done,"This walker has easy-to-remove activity panel is great for floor play and is packed with features and the legs fold for easy storage. Five light-up piano keys introduce colors and numbers, while spinning gears help develop fine motor skills. Attach the panel to the adjustable two-speed walker as little ones grow, and watch them go! Intended for ages 9-36 months. Requires 2 AA batteries and the batteries are included. 
•                    Electronic play panel can be removed from the walker for floor play
•                    Attach and detach the cell phone to trigger playful phrases, sounds and a cute song
•                    Speed control on the wheels helps keep beginner walkers at a slower pace",,,https://drive.google.com/drive/u/2/folders/1x6EZBjrtGLPAGdtHvwn2G3iGRM2uQGFj,2,27,27,11313
75662,cragslist,control,VTECH Sit to Stand Learning Walker,$5,done,"This walker has easy-to-remove activity panel is great for floor play and is packed with features and the legs fold for easy storage. Five light-up piano keys introduce colors and numbers, while spinning gears help develop fine motor skills. Attach the panel to the adjustable two-speed walker as little ones grow, and watch them go! Intended for ages 9-36 months. Requires 2 AA batteries and the batteries are included. 
•  Electronic play panel can be removed from the walker for floor play
•  Attach and detach the cell phone to trigger playful phrases, sounds and a cute song
•  Speed control on the wheels helps keep beginner walkers at a slower pace",https://easttexas.craigslist.org/,tyler / east TX,https://drive.google.com/drive/u/2/folders/1x6EZBjrtGLPAGdtHvwn2G3iGRM2uQGFj,0,,,26015
31047,letgo,treatment_2,Speaker,$5,,"I bought the MEIDI wireless Bluetooth speaker a month ago. I rarely used it and overtime I realized that I no longer need it.  The speaker looks like new and it works seamlessly. I plan to sell the product in its original box that includes speaker, speaker, 60 cm charging cable, 50 cm 3.5 mm AUX in cable, and user manual. The speaker comes with the following features.
Features:
⁃                     Compatible with cell phones, tables, laptops, and computes
⁃                     6 hours of battery life
⁃                     Contains two speakers",,,https://drive.google.com/drive/u/2/folders/1IL33NsyOx7xjAZ1vi5FiWW1S2DCOf-kX,16,89,89,13432
40214,offerup,treatment_1,VTECH Sit to Stand Learning Walker,$5,done,"This walker has easy-to-remove activity panel is great for floor play and is packed with features and the legs fold for easy storage. Five light-up piano keys introduce colors and numbers, while spinning gears help develop fine motor skills. Attach the panel to the adjustable two-speed walker as little ones grow, and watch them go! Intended for ages 9-36 months. Requires 2 AA batteries and the batteries are included. 
•                    Electronic play panel can be removed from the walker for floor play
•                    Attach and detach the cell phone to trigger playful phrases, sounds and a cute song
•                    Speed control on the wheels helps keep beginner walkers at a slower pace",,,https://drive.google.com/drive/u/2/folders/1x6EZBjrtGLPAGdtHvwn2G3iGRM2uQGFj,0,5,5,44480
55412,offerup,treatment_2,VTECH Sit to Stand Learning Walker,$5,done,"This walker has easy-to-remove activity panel is great for floor play and is packed with features and the legs fold for easy storage. Five light-up piano keys introduce colors and numbers, while spinning gears help develop fine motor skills. Attach the panel to the adjustable two-speed walker as little ones grow, and watch them go! Intended for ages 9-36 months. Requires 2 AA batteries and the batteries are included. 
•                    Electronic play panel can be removed from the walker for floor play
•                    Attach and detach the cell phone to trigger playful phrases, sounds and a cute song
•                    Speed control on the wheels helps keep beginner walkers at a slower pace",,,https://drive.google.com/drive/u/2/folders/1x6EZBjrtGLPAGdtHvwn2G3iGRM2uQGFj,0,12,12,22203
21239,cragslist,treatment_2,Patio Chairs,$20,rejected; redone,"These full-scale, lightweight Cafe Curved-back Stacking Chairs create an elegant outdoor setting at a moment's notice. Advanced weather-defying fiber is double woven over powder coated aluminum frames to create the rich look of wicker without the worries. I bought these chairs a year ago with price $60. Cushions are not included.
 
•  All-weather wicker is handwoven over a powder coated aluminum frame
•  Premium wicker construction resists mold, mildew, fading and splintering
•  Durable yet lightweight aluminum frame is finished with a protective powder coat to resist the elements",https://baltimore.craigslist.org/,baltimore,https://drive.google.com/drive/u/2/folders/1OjHcHaiG0LpVlIgQhvhpuyYfhLV5nTgP,2,,Ended on 7/22,31933
78666,cragslist,control,Kid's Study Table,$35,done,"This table-chair are for kids under age 7 years. The height of both table and chairs is adjustable. There are some scratches on one of the chairs, but except that the condition is excellent. It comes with four chairs of similar design and color as shown in the picture.
 
•  STURDY DURABLE TODDLER TABLE AND CHAIR SET: Chairs weight capacity: 220 lbs, Table weight capacity: 220 lbs
•  HEIGHT ADJUSTABLE DESK & SEAT: There are 5 levels for table to adjust from 18.9”-23.6”, 3 level for chairs to adjust from 20.8”-22.4”.
•  47” tabletop size, suits boys and girls of 2 years-10 years old, 1"" adjustable table pad solve the problem of uneven ground effectively; inclined legs prevent children from flipping while playing games.",https://sanmarcos.craigslist.org/,san marcos,https://drive.google.com/drive/u/2/folders/1gE6kpk2Jj5mucumQhmIG437gTlSqULZc,0,,,75968
